id,gender,major,admission_type,admission_group,admission_score,credits_sem5,credits_sem6,credits_sem7,credits_sem8,failed_sem5,failed_sem6,failed_sem7,failed_sem8,warn_sem5,warn_sem6,warn_sem7,warn_sem8,gpa_sem1,gpa_sem2,gpa_sem3,gpa_sem4,gpa_sem5,gpa_sem6,gpa_sem7,gpa_sem8,target
SV00053,Nam,Công nghệ thông tin UDU,THPT,A01,27.01,75,90,105,106,0,0,0,0,0,0,0,0,3.4,3.75,3.76,4,4,3.81,3.68,0,1
SV00054,Nam,Marketing,THPT,X26,22.9,68,82,96,97,0,0,0,0,0,0,0,0,2.59,2.52,2.74,3.19,2.86,2.98,2.74,0,1
SV00055,Nữ,Marketing,ĐGTD,D01,20.04,63,74,83,84,0,0,0,0,0,0,0,0,2.69,2.25,2.5,2.37,2.25,2.01,1.86,0,1
SV00056,Nam,Trí tuệ nhân tạo,ĐGTD,X06,20.95,62,75,89,91,0,0,0,0,0,0,0,0,2.13,2.23,2.34,2.69,2.62,2.51,2.8,0.3,0
SV00057,Nữ,Marketing CLC,ĐGTD,D01,19.11,71,86,101,102,0,0,0,0,1,2,2,2,2.91,3.03,3.02,3.12,3.63,4,4,0,1
SV00058,Nam,An toàn thông tin CLC,ĐGTD,X26,19.92,70,84,97,98,0,0,0,0,0,0,0,0,2.98,2.79,2.89,2.9,3,2.81,2.44,0,0
SV00059,Nữ,Công nghệ đa phương tiện,ĐGTD,X26,19.18,54,67,81,83,0,0,0,0,0,0,0,0,1.97,1.87,1.82,2.32,2.74,2.64,2.81,0.3,0
SV00060,Nam,Truyền thông đa phương tiện,THPT,A01,25.86,71,85,99,100,0,0,0,0,0,0,0,0,2.89,2.95,3.13,3.06,3.35,3.08,3.1,0,1
SV00061,Nam,Khoa học máy tính,THPT,A00,25.93,74,89,104,105,0,0,0,0,0,0,0,0,3.07,3.44,3.49,3.65,3.66,3.64,3.46,0,1
SV00062,Nam,Công nghệ đa phương tiện,Xét tuyển thẳng,X06,0,61,74,87,88,0,0,0,0,0,0,0,0,1.95,2.14,2.43,2.54,2.49,2.62,2.57,0,1
SV00063,Nam,Công nghệ thông tin UDU,THPT,X26,26.9,41,47,53,54,2,3,3,3,0,0,0,0,2.03,1.97,1.49,1.01,1.38,1.62,1.58,0.12,0
SV00064,Nam,Báo chí,THPT,X06,25.18,58,71,83,84,0,0,0,0,0,0,0,0,1.93,1.81,2.44,2.57,2.45,2.58,2.21,0,1
SV00065,Nữ,Logistics và quản trị chuỗi cung ứng,THPT,A00,23.36,72,87,102,103,0,0,0,0,0,0,0,0,2.95,2.94,3.16,3.27,3.46,3.3,3.55,0,1
SV00066,Nam,Công nghệ thông tin Việt - Nhật,ĐGNL,X26,20.43,65,79,93,94,0,0,0,0,0,0,0,0,2.4,2.2,2.56,2.53,2.9,2.81,3.19,0,1
SV00067,Nam,Khoa học máy tính,ĐGTD,X06,19.34,70,84,97,98,0,0,0,0,0,0,0,0,2.8,3.21,3.14,2.93,2.83,2.97,2.6,0,1
SV00068,Nam,Công nghệ thông tin UDU,ĐGTD,A01,19.39,56,63,70,71,0,0,1,2,0,0,0,0,2.4,2.7,2.13,1.95,1.55,1.36,1.32,0,0
SV00069,Nam,An toàn thông tin,THPT,X06,26.32,70,84,98,99,0,0,0,0,0,0,0,0,2.91,2.89,2.96,2.73,2.93,3.11,3.23,0,1
SV00070,Nữ,Marketing,THPT,X06,23.32,66,78,90,92,0,0,0,0,0,0,0,0,2.23,2.76,2.75,2.7,2.53,2.29,2.12,0.3,0
SV00071,Nam,"Kỹ thuật điện, điện tử",THPT,A00,26.65,70,85,100,101,0,0,0,0,0,0,0,0,2.86,2.96,3,2.82,3.07,3.27,3.25,0,0
SV00072,Nam,Công nghệ thông tin,ĐGTD,X26,19.85,68,81,94,95,0,0,0,0,0,0,0,0,2.92,2.98,2.64,2.65,2.73,2.53,2.59,0,1
SV00073,Nữ,Marketing,THPT,X26,24.04,74,88,102,103,0,0,0,0,0,0,0,0,3.27,3.6,3.56,3.67,3.09,2.82,2.77,0,0
SV00074,Nam,An toàn thông tin CLC,ĐGNL,A01,20.78,72,87,102,103,0,0,0,0,0,0,0,0,3,3.52,3.25,3.06,3.14,3.56,3.28,0,1
SV00075,Nữ,Truyền thông đa phương tiện,THPT,A01,25.98,71,85,99,100,0,0,0,0,0,0,0,0,3.63,3.23,2.93,2.85,2.74,2.96,3.04,0,1
SV00076,Nam,Marketing,ĐGNL,X06,20.02,68,82,96,98,0,0,0,0,0,0,0,0,2.69,2.57,2.91,2.77,2.75,2.9,3.12,0.24,1
SV00077,Nam,Công nghệ thông tin Việt - Nhật,THPT,X06,27.24,45,52,57,58,0,1,2,3,0,0,0,0,1.78,1.93,1.69,1.77,1.44,1.45,1.15,0,1
SV00078,Nam,Công nghệ thông tin CLC,ĐGNL,X06,21.57,68,82,96,98,0,0,0,0,0,0,0,0,2.68,2.76,2.63,3.01,3.04,3.07,3.16,0.24,0
SV00079,Nam,Kế toán,ĐGNL,A01,20.25,70,82,95,96,0,0,0,0,0,0,0,0,2.9,2.79,2.71,3.07,2.83,2.24,2.67,0,1
SV00080,Nữ,Truyền thông đa phương tiện,THPT,X06,23.53,61,70,80,81,0,0,0,0,0,0,0,0,2.65,2.18,2.13,2.07,2.05,1.79,1.95,0,0
SV00081,Nam,Khoa học máy tính,THPT,A00,27.05,69,83,98,99,0,0,0,0,0,0,0,0,2.5,2.69,3.23,3.29,3.23,3.21,3.38,0,1
SV00082,Nữ,Logistics và quản trị chuỗi cung ứng,THPT,A01,23.85,73,88,103,104,0,0,0,0,0,0,0,0,2.98,2.91,3.39,3.36,3.8,3.54,3.71,0,1
SV00083,Nam,An toàn thông tin CLC,THPT,X06,28.72,69,83,96,97,0,0,0,0,0,0,0,0,2.77,2.83,3.15,3.09,2.69,2.71,2.5,0,1
SV00084,Nam,"Kỹ thuật điện, điện tử",ĐGNL,X06,21.43,41,44,48,49,2,3,5,6,0,0,0,0,2.18,1.77,1.39,1.41,1.42,0.92,1.25,0.3,0
SV00085,Nữ,Kế toán CLC,THPT,D01,26.64,64,79,94,96,0,0,0,0,0,0,0,0,2.41,2.1,2.33,2.44,3.18,3.42,3.54,0.3,0
SV00086,Nữ,Truyền thông đa phương tiện,ĐGTD,A01,19.77,73,87,102,103,0,0,0,0,0,0,0,0,3.01,3.19,3.52,3.41,3.32,3.22,3.44,0,1
SV00087,Nữ,An toàn thông tin,THPT,A00,27.68,70,83,96,97,0,0,0,0,0,0,0,0,2.88,2.79,2.89,2.85,3.11,2.57,2.38,0,1
SV00088,Nam,Công nghệ thông tin Việt - Nhật,ĐGNL,X26,21.76,44,53,61,62,0,0,0,0,0,0,0,0,1.97,1.75,1.54,1.51,1.81,1.77,1.53,0,1
SV00089,Nữ,Công nghệ đa phương tiện,THPT,X06,26.96,71,86,101,102,0,0,0,0,0,0,0,0,3.39,3.16,2.95,3.11,3.08,3.26,3.28,0,1
SV00090,Nam,"Kỹ thuật điện, điện tử",THPT,X26,28.02,65,77,89,90,0,0,0,0,0,0,0,0,2.69,2.71,2.67,2.39,2.02,2.21,2.14,0,1
SV00091,Nam,Logistics và quản trị chuỗi cung ứng,THPT,X06,26.98,68,81,94,95,0,0,0,0,0,0,0,0,2.99,3.29,2.74,2.38,2.17,2.56,2.65,0,1
SV00092,Nữ,"Kỹ thuật điện, điện tử",ĐGNL,X26,20.62,15,16,17,18,7,9,11,13,0,0,0,0,1.12,0.74,0.7,0.61,0.65,0.56,0.65,0,0
SV00093,Nam,Kỹ thuật điện tử viễn thông,THPT,X26,26.75,71,85,99,100,0,0,0,0,0,0,0,0,3.28,3.51,3.12,2.58,2.85,3.17,2.93,0,1
SV00094,Nam,Công nghệ thông tin UDU,ĐGNL,A00,20.21,69,83,97,99,0,0,0,0,0,0,0,0,2.42,2.68,3.15,3.3,3.22,3.14,3.16,0.24,0
SV00095,Nữ,Khoa học máy tính,THPT,A01,27.8,72,87,102,103,0,0,0,0,0,0,0,0,2.69,3.22,3.69,3.99,3.78,4,4,0,1
SV00096,Nam,Công nghệ thông tin Việt - Nhật,Xét tuyển thẳng,A01,0,71,85,99,100,0,0,0,0,0,0,0,0,2.69,2.87,3.07,3.25,3.36,2.93,2.97,0,1
SV00097,Nam,Công nghệ thông tin CLC,ĐGNL,X26,20.39,70,85,100,101,0,0,0,0,0,0,0,0,2.29,2.73,3.19,3.55,3.63,3.99,4,0,1
SV00098,Nữ,Truyền thông đa phương tiện,ĐGNL,D01,19.53,62,74,87,88,0,0,0,0,0,0,0,0,2.33,2.45,2.49,2.18,2.19,2.19,2.66,0,1
SV00099,Nữ,Kế toán CLC,ĐGTD,X06,20.62,69,82,95,96,0,0,0,0,0,0,0,0,2.75,2.83,2.87,2.84,2.58,2.57,2.4,0,1
SV00100,Nữ,An toàn thông tin CLC,THPT,A00,24.6,68,83,98,99,0,0,0,0,0,0,0,0,3,3.12,2.69,2.68,2.95,3.24,3.51,0,0
SV00101,Nam,"Kỹ thuật điện, điện tử",ĐGNL,A00,21.47,47,60,73,75,0,0,0,0,0,0,0,0,1.82,1.57,1.67,1.79,2.13,2.43,2.41,0.24,1
SV00102,Nam,Công nghệ thông tin,THPT,X06,25.56,66,79,92,94,0,0,0,0,0,0,0,0,2.65,2.72,2.69,2.56,2.65,2.54,2.52,0.24,1
SV00103,Nam,"Kỹ thuật điện, điện tử",ĐGNL,X06,20.51,64,77,90,91,0,0,0,0,0,0,0,0,2.48,2.56,2.65,2.38,2.28,2.66,2.39,0,0
SV00104,Nam,Trí tuệ nhân tạo,THPT,A01,25.11,63,75,87,88,0,0,0,0,0,0,0,0,2.31,2.34,2.37,2.36,2.68,2.03,2.15,0,1
SV00105,Nữ,"Kỹ thuật điện, điện tử",THPT,X26,26.67,63,76,90,91,0,0,0,0,0,0,0,0,2.62,2.54,2.37,2.17,2.11,2.48,2.96,0,1
SV00106,Nam,"Kỹ thuật điện, điện tử",ĐGNL,X06,20.62,75,90,105,106,0,0,0,0,0,0,0,0,3.42,3.44,3.9,3.9,3.95,4,4,0,1
SV00107,Nam,"Kỹ thuật điện, điện tử",THPT,X06,26.89,70,84,98,99,0,0,0,0,0,0,0,0,2.77,3.03,2.96,2.86,3.11,3.13,3.22,0,1
SV00108,Nam,Kế toán CLC,THPT,X26,25.46,70,83,96,97,0,0,0,0,0,0,0,0,3.09,3.22,2.75,2.94,2.71,2.37,2.38,0,1
SV00109,Nữ,Marketing,THPT,A01,25.34,65,77,90,91,0,0,0,0,0,0,0,0,2.6,2.83,2.51,2.43,2.31,2.31,2.4,0,0
SV00110,Nữ,Truyền thông đa phương tiện,ĐGTD,A00,20.62,65,77,89,90,0,0,0,0,0,0,0,0,3,3.04,2.58,2.12,2.13,2.1,2.09,0,1
SV00111,Nam,Công nghệ thông tin CLC,THPT,A01,26.55,70,83,97,98,0,0,0,0,0,0,0,0,3.09,3.34,3.08,2.81,2.56,2.65,2.98,0,1
SV00112,Nam,"Kỹ thuật điện, điện tử",THPT,A00,27.81,43,48,52,53,1,2,3,4,0,0,0,0,2.17,1.76,1.57,1.46,1.25,1.16,1.04,0,1
SV00113,Nữ,Kế toán,Xét tuyển thẳng,A00,0,34,38,42,43,3,4,5,6,0,0,0,0,1.67,1.47,1.49,1.01,1.13,1.17,1.15,0,0
SV00114,Nữ,Marketing,ĐGTD,A01,20.54,69,82,94,95,0,0,0,0,0,0,0,0,2.53,3.06,3.03,2.73,2.77,2.52,2.35,0,1
SV00115,Nam,Marketing CLC,THPT,X06,24.75,73,88,103,104,0,0,0,0,0,0,0,0,3.15,3.01,3.28,3.59,3.97,4,4,0,1
SV00116,Nữ,Kế toán,THPT,X26,25.15,67,81,95,96,0,0,0,0,0,0,0,0,2.85,2.66,2.71,2.58,2.56,3.05,3.03,0,1
SV00117,Nam,Trí tuệ nhân tạo,THPT,A01,28.8,71,86,101,102,0,0,0,0,0,0,0,0,2.99,3.03,3.05,3.19,3.5,3.93,4,0,1
SV00118,Nữ,An toàn thông tin CLC,ĐGTD,X26,20.2,65,79,94,95,0,0,0,0,0,0,0,0,2.33,2.33,2.59,2.82,2.9,3.14,3.28,0,1
SV00119,Nam,Công nghệ thông tin CLC,THPT,A01,26.46,66,74,79,80,0,0,1,2,0,0,0,0,2.89,2.82,2.92,2.21,2.32,1.43,1.02,0,1
SV00120,Nam,An toàn thông tin CLC,THPT,X26,26.82,70,85,100,101,0,0,0,0,0,0,0,0,3.18,2.91,2.75,3.12,3.01,3.6,3.61,0,1
SV00121,Nữ,Logistics và quản trị chuỗi cung ứng,THPT,X26,22.7,75,89,103,104,0,0,0,0,0,0,0,0,3.46,3.51,3.28,3.27,3.28,2.96,2.92,0,1
SV00122,Nam,Truyền thông đa phương tiện,THPT,X06,25.5,75,90,105,106,0,0,0,0,0,0,0,0,3.3,3.33,3.28,3.27,3.35,3.52,3.29,0,1
SV00123,Nam,Kế toán CLC,THPT,X06,24.49,72,86,100,101,0,0,0,0,0,0,0,0,3.33,3.25,2.91,3.04,3.18,2.82,2.9,0,1
SV00124,Nữ,Marketing,ĐGNL,X26,19.33,57,69,82,84,0,0,0,0,0,0,0,0,2.05,2.23,1.9,2,2.19,2.15,2.39,0.3,0
SV00125,Nam,Kỹ thuật điện tử viễn thông,THPT,A01,26.68,75,90,105,106,0,0,0,0,0,0,0,0,3.64,3.99,3.98,4,4,4,4,0,1
SV00126,Nam,Kế toán,THPT,A00,24.67,69,83,97,98,0,0,0,0,0,0,0,0,2.93,2.77,2.68,2.86,2.88,2.99,3.18,0,1
SV00127,Nam,An toàn thông tin,ĐGTD,A01,20.81,70,84,97,98,0,0,0,0,0,0,0,0,3.02,3.13,2.84,3.23,3.12,2.73,2.49,0,1
SV00128,Nam,Công nghệ đa phương tiện,THPT,A00,25.32,70,84,99,100,0,0,0,0,0,0,0,0,2.86,2.81,2.75,2.92,3.03,3.13,3.25,0,0
SV00129,Nữ,Kế toán,THPT,A00,23.82,39,45,51,52,2,3,4,4,0,0,0,0,1.97,1.9,1.37,1.28,1.3,1.46,1.66,0,1
SV00130,Nữ,Kế toán CLC,THPT,X26,24.91,66,80,94,96,0,0,0,0,0,0,0,0,2.56,2.7,2.59,2.61,2.88,2.88,3.1,0.24,1
SV00131,Nam,Kế toán,ĐGNL,X26,20.22,68,81,94,95,0,0,0,0,0,0,0,0,2.4,2.67,2.86,2.91,2.74,2.54,2.43,0,1
SV00132,Nam,Marketing CLC,THPT,A00,24.31,66,80,94,95,0,0,0,0,0,0,0,0,2.6,2.73,2.44,2.41,2.46,3.09,2.77,0,1
SV00133,Nam,An toàn thông tin,ĐGNL,A00,20.81,53,67,80,82,0,0,0,0,0,0,0,0,1.8,1.92,1.97,2.1,2.33,2.71,2.68,0.3,0
SV00134,Nam,Kế toán,THPT,X06,24.29,68,82,96,97,0,0,0,0,0,0,0,0,2.71,2.72,2.47,2.6,2.99,2.99,2.96,0,1
SV00135,Nữ,"Kỹ thuật điện, điện tử",THPT,X06,26.87,64,79,94,95,0,0,0,0,0,0,0,0,2.81,2.43,2.22,2.3,2.65,3.37,3.25,0,0
SV00136,Nam,Công nghệ thông tin Việt - Nhật,THPT,A01,28.21,70,84,97,99,0,0,0,0,0,0,0,0,2.8,2.78,2.91,2.94,3.11,3.03,2.7,0.12,0
SV00137,Nam,Kế toán,THPT,X06,25.34,68,82,96,98,0,0,0,0,0,0,0,0,2.85,2.8,2.67,2.7,3.04,3.1,2.96,0.24,0
SV00138,Nam,Trí tuệ nhân tạo,THPT,A01,25.81,75,90,105,106,0,0,0,0,0,0,0,0,3.54,3.68,3.94,4,4,4,4,0,1
SV00139,Nam,Công nghệ thông tin UDU,ĐGNL,X26,20.28,62,75,89,90,0,0,0,0,0,0,0,0,2.35,2.55,2.23,2.05,2.4,2.63,3.02,0,1
SV00140,Nữ,Logistics và quản trị chuỗi cung ứng,THPT,X06,25.81,66,80,94,95,0,0,0,0,0,0,0,0,2.58,2.54,2.59,2.63,2.93,2.86,2.97,0,1
SV00141,Nữ,Báo chí,THPT,X06,25.22,62,75,89,91,0,0,0,0,0,0,0,0,2.34,2.36,2.19,2.15,2.37,2.38,2.84,0.3,0
SV00142,Nam,Công nghệ thông tin,ĐGTD,A00,20.77,51,62,72,73,0,0,0,0,0,0,0,0,2.54,2.04,1.83,1.79,1.64,2,1.98,0,0
SV00143,Nam,Công nghệ thông tin CLC,THPT,X06,25.74,71,85,98,99,0,0,0,0,0,0,0,0,3,3.03,3.03,3.05,3.5,2.94,2.46,0,1
SV00144,Nữ,Logistics và quản trị chuỗi cung ứng,THPT,X06,24.81,72,87,102,103,0,0,0,0,0,0,0,0,2.96,3.15,3.29,3.21,3.49,3.77,3.83,0,1
SV00145,Nam,Báo chí,THPT,X06,24.47,64,78,90,92,0,0,0,0,0,0,0,0,2.38,2.26,2.45,2.5,2.52,2.91,2.32,0.24,1
SV00146,Nữ,Kỹ thuật điện tử viễn thông,THPT,X26,26.11,54,62,74,77,0,0,0,0,0,0,0,0,2.23,2.16,2.12,1.76,1.65,1.58,2.33,0.42,0
SV00147,Nữ,Trí tuệ nhân tạo,Xét tuyển thẳng,X26,0,10,11,12,13,8,10,12,14,0,0,0,0,0.88,0.57,0.24,0,0,0,0,0,0
SV00148,Nam,Công nghệ thông tin CLC,Xét tuyển thẳng,X06,0,49,61,71,73,0,0,0,0,0,0,0,0,1.76,1.82,1.93,2.06,1.87,2.1,1.92,0.12,1
SV00149,Nữ,"Kỹ thuật điện, điện tử",THPT,A01,25.71,68,82,97,98,0,0,0,0,0,0,0,0,2.98,2.65,2.59,2.71,2.88,2.86,3.27,0,1
SV00150,Nam,An toàn thông tin,ĐGTD,A01,19.44,68,82,97,99,0,0,0,0,0,0,0,0,2.28,2.48,2.99,3.5,3.21,3.12,3.51,0.24,0
SV00151,Nam,Kỹ thuật điện tử viễn thông,THPT,A01,27.3,60,72,84,86,0,0,0,0,0,0,0,0,2.22,2.12,2.24,2.24,2.22,2.19,2.09,0.3,0
