student_id,gender,major,admission_type,gpa_year1,gpa_year2,gpa_year3,gpa_year4,total_cumulative_gpa,total_credits_required,failed_courses,academic_warnings,attendance_rate,assignment_submission_rate,extra_activities,financial_state,graduate_on_time,graduate_year,achieved_scholarship
S00050,Female,Financial Technology (Fintech),DirectAdmission,3.19,3.41,3.28,3.41,3.32,130,0,0,0.94,0.8,0,Stable,1,4,0
S00051,Female,Multimedia Communication,DirectAdmission,2.75,3.02,2.31,2.89,2.74,125,0,0,0.85,0.7,1,Average,1,4,1
S00052,Female,E-commerce,EntranceExam,2.29,2.55,3.01,2.54,2.6,125,2,0,0.84,0.87,0,Average,1,4,1
S00053,Male,Marketing,EntranceExam,3.61,3.52,3.41,3.59,3.53,120,0,0,0.86,0.81,1,Stable,1,4,1
S00054,Male,Multimedia Communication,EntranceExam,3.4,3.76,3.34,3.22,3.43,125,0,0,0.81,0.86,2,Stable,1,4,1
S00055,Male,Information Technology,EntranceExam,3.43,3.47,3.32,3.82,3.51,130,0,0,0.95,0.76,0,Average,1,4,1
S00056,Female,Notary Relations,DirectAdmission,2.93,2.42,2.66,2.02,2.51,125,1,0,0.97,0.92,2,Stable,1,4,1
S00057,Female,Accounting,EntranceExam,1.83,1.91,1.77,1.8,1.83,130,6,1,0.9,0.85,4,Difficult,0,5,1
S00058,Male,Notary Relations,EntranceExam,2.35,1.7,2,2.52,2.14,125,1,0,0.84,0.8,0,Average,0,7,0
S00059,Female,Multimedia Technology,EntranceExam,2.18,2.23,1.94,2.24,2.15,125,4,0,0.82,0.98,0,Average,0,6,1
S00060,Male,Information Security,EntranceExam,2.25,1.63,2.04,1.73,1.91,130,7,0,0.69,0.68,0,Stable,0,5,0
S00061,Male,Artificial Intelligence,EntranceExam,2.43,2.81,2.87,2.28,2.6,130,1,0,0.99,0.8,1,Average,1,4,0
S00062,Female,Computer Science,DirectAdmission,2.5,2.67,2.47,2.15,2.45,130,1,0,0.85,1,0,Difficult,0,5,1
S00063,Male,Multimedia Technology,DirectAdmission,2.09,2.44,2.44,2.92,2.47,125,3,0,0.85,0.81,3,Average,0,7,0
S00064,Female,Computer Science,EntranceExam,3.19,2.67,3.1,3.02,2.99,130,0,0,0.81,0.91,0,Stable,1,4,1
S00065,Female,Business Administration,EntranceExam,2.45,2.33,1.94,2.52,2.31,120,5,0,0.88,1,0,Average,0,5,1
S00066,Female,Business Administration,EntranceExam,2.75,2.86,2.84,3.26,2.93,120,1,0,0.8,0.72,2,Average,1,4,1
S00067,Female,Information Technology,EntranceExam,3.12,3.28,3,3.54,3.24,130,0,1,0.86,1,1,Average,1,4,0
S00068,Male,Information Technology,EntranceExam,2.31,2.35,2.2,2.72,2.4,130,2,0,0.91,0.91,1,Stable,1,4,0
S00069,Male,Information Technology,EntranceExam,2.59,2.87,2.26,3.04,2.69,130,0,0,0.85,0.65,0,Average,1,4,0
S00070,Female,Information Technology,DirectAdmission,1.52,1.89,1.84,1.73,1.74,130,1,0,0.86,0.79,0,Average,0,5,1
S00071,Female,Information Technology,DirectAdmission,2.37,2.6,2.16,2.38,2.38,130,3,0,0.76,0.86,2,Average,0,7,1
S00072,Male,E-commerce,EntranceExam,3.06,3.11,2.89,2.45,2.88,125,3,0,0.7,0.74,4,Difficult,0,6,0
S00073,Female,Computer Science,EntranceExam,2.9,3.29,3.2,2.99,3.1,130,0,0,0.92,0.91,1,Stable,1,4,1
S00074,Female,Multimedia Communication,DirectAdmission,1.02,2.65,2.08,2.02,1.94,125,6,1,0.85,0.83,0,Stable,0,8,1
S00075,Female,Information Technology,EntranceExam,2.31,2.56,2.05,2.12,2.26,130,4,0,0.82,0.77,4,Stable,0,5,1
S00076,Male,Accounting,EntranceExam,3.82,3.87,3.71,4,3.85,130,0,0,0.98,0.74,3,Stable,1,4,1
S00077,Male,Financial Technology (Fintech),EntranceExam,3.09,3.81,3.41,3.73,3.51,130,0,0,0.85,0.85,1,Stable,1,4,1
S00078,Female,Marketing,EntranceExam,2.78,3.06,2.98,2.75,2.89,120,0,0,0.86,0.89,1,Stable,1,4,1
S00079,Male,Automation,EntranceExam,1.7,2.3,2.24,2.49,2.18,140,2,1,0.77,0.82,0,Stable,0,7,0
S00080,Male,Automation,EntranceExam,2.64,3.2,3.18,2.91,2.98,140,0,0,0.89,0.84,1,Stable,1,4,1
S00081,Female,Game Design and Development,DirectAdmission,2.83,3.53,3.53,3.19,3.27,140,0,0,0.88,0.73,1,Difficult,1,4,0
S00082,Male,E-commerce,EntranceExam,2.42,2.77,2.91,2.25,2.59,125,1,0,0.76,0.6,1,Stable,0,6,0
S00083,Male,Computer Science,EntranceExam,3.4,3.37,3.66,3.62,3.51,130,0,0,0.97,0.96,2,Average,1,4,1
S00084,Male,Accounting,EntranceExam,2.08,2.36,2.29,2,2.18,130,0,0,0.92,0.94,0,Stable,1,4,0
S00085,Male,Information Technology,EntranceExam,2.85,1.85,2.41,2.39,2.38,130,1,0,0.8,0.87,6,Average,1,4,0
S00086,Male,Multimedia Technology,DirectAdmission,2.9,2.76,2.66,2.78,2.78,125,0,0,0.84,0.93,1,Stable,1,4,0
S00087,Male,Journalism,EntranceExam,3.13,3.19,3.24,3.17,3.18,120,1,0,0.84,0.89,0,Stable,1,4,1
S00088,Male,Automation,EntranceExam,2.7,3.14,3.03,2.76,2.91,140,1,0,0.86,0.98,0,Stable,1,4,0
S00089,Male,Information Technology,EntranceExam,1.84,1.99,2.22,1.62,1.92,130,2,1,0.79,0.88,4,Stable,0,6,0
S00090,Male,Accounting,EntranceExam,1.82,2.78,2.49,2.39,2.37,130,2,0,0.76,0.56,1,Stable,0,7,0
S00091,Male,Artificial Intelligence,EntranceExam,2.76,2.98,3.21,3.21,3.04,130,0,0,0.93,0.72,4,Stable,1,4,0
S00092,Male,Marketing,EntranceExam,2.25,1.86,2.34,1.96,2.1,120,2,0,0.95,0.9,1,Average,1,4,0
S00093,Female,E-commerce,DirectAdmission,2.64,3.06,2.72,2.39,2.7,125,1,0,0.76,0.69,1,Average,0,5,1
S00094,Female,Artificial Intelligence,DirectAdmission,2.17,3.18,2.85,2.89,2.77,130,0,0,0.8,0.87,1,Stable,1,4,1
S00095,Male,Information Technology,EntranceExam,2.43,2.33,2.71,2.54,2.5,130,0,0,0.82,0.91,2,Stable,1,4,0
S00096,Male,Accounting,EntranceExam,2.96,2.88,2.62,2.86,2.83,130,1,0,0.81,0.77,4,Average,1,4,0
S00097,Male,Information Technology,EntranceExam,2.16,2.32,2.4,1.9,2.2,130,3,1,0.84,0.87,1,Stable,0,8,0
S00098,Female,Multimedia Communication,DirectAdmission,2.71,2.34,2.69,2.53,2.57,125,3,0,0.76,0.61,2,Stable,0,7,1
S00099,Male,Artificial Intelligence,EntranceExam,2.25,2.25,2.17,2.49,2.29,130,2,0,0.81,0.85,2,Difficult,0,8,0
S00100,Female,Multimedia Technology,EntranceExam,2.32,2.46,2.88,2.54,2.55,125,0,0,0.82,0.94,1,Average,1,4,1
S00101,Male,E-commerce,DirectAdmission,2.65,2.44,1.86,2.33,2.32,125,0,0,0.94,0.85,2,Stable,1,4,0
S00102,Male,Marketing,EntranceExam,2.24,2.3,2.18,2.16,2.22,120,1,0,0.8,0.73,3,Stable,1,4,0
S00103,Female,Business Administration,EntranceExam,3.46,3.82,3.67,3.46,3.6,120,0,0,0.81,0.8,2,Stable,1,4,0
S00104,Male,Financial Technology (Fintech),EntranceExam,2.58,3.25,3.18,3.07,3.02,130,0,0,0.84,0.63,0,Stable,1,4,0
S00105,Male,E-commerce,EntranceExam,2.53,2.75,3.22,3.52,3,125,0,0,0.86,0.87,4,Average,1,4,1
S00106,Female,Business Administration,EntranceExam,1.34,1.75,1.57,1.38,1.51,120,5,0,0.82,0.75,0,Stable,0,8,1
S00107,Female,Accounting,DirectAdmission,2.48,2.36,2.11,2.65,2.4,130,5,0,0.83,0.76,1,Difficult,0,6,1
S00108,Male,Information Security,EntranceExam,2.6,2.52,2.82,2.36,2.58,130,1,0,0.87,0.89,1,Average,1,4,0
S00109,Male,Business Administration,EntranceExam,1.58,1.39,2.05,1.83,1.71,120,6,0,0.83,0.94,1,Average,0,7,0
S00110,Male,Game Design and Development,EntranceExam,2.98,2.74,2.83,2.85,2.85,140,0,0,0.9,0.82,1,Difficult,1,4,0
S00111,Female,Business Administration,DirectAdmission,3.22,4,3.83,3.71,3.69,120,0,0,0.91,0.76,1,Difficult,1,4,1
S00112,Female,Automation,EntranceExam,2.97,2.39,2.37,2.46,2.55,140,3,0,0.87,1,3,Stable,1,4,1
S00113,Female,Journalism,DirectAdmission,2.24,2.64,2.5,2.23,2.4,120,4,0,0.8,0.86,2,Difficult,0,6,1
S00114,Male,Marketing,EntranceExam,2.76,2.52,2.68,2.35,2.58,120,0,0,0.86,0.94,2,Average,1,4,0
S00115,Female,Artificial Intelligence,EntranceExam,2.95,2.76,2.61,3.77,3.02,130,0,0,0.86,0.79,1,Stable,1,4,1
S00116,Male,Business Administration,EntranceExam,1.98,2.45,2.16,2.7,2.32,120,1,2,0.9,0.61,2,Stable,0,6,0
S00117,Male,Notary Relations,EntranceExam,2.88,3.05,2.15,3.05,2.78,125,0,0,0.84,0.76,0,Average,1,4,0
S00118,Male,Artificial Intelligence,EntranceExam,0.99,1.67,1.19,2,1.46,130,6,0,0.96,0.95,2,Stable,0,6,0
S00119,Female,Accounting,EntranceExam,2.82,2.92,2.83,3.61,3.04,130,0,0,0.96,0.98,2,Stable,1,4,1
S00120,Male,Multimedia Communication,EntranceExam,2.8,2.62,3,3.37,2.95,125,0,0,0.96,0.85,3,Average,1,4,1
S00121,Male,Business Administration,DirectAdmission,2.78,2.41,2.46,2.26,2.48,120,1,0,0.95,0.93,2,Stable,1,4,0
S00122,Female,Accounting,DirectAdmission,0.99,1,1.55,1.19,1.18,130,3,0,0.95,0.88,1,Stable,0,5,0
S00123,Female,Business Administration,DirectAdmission,2.22,3.27,2.91,3.11,2.88,120,0,0,0.95,0.9,1,Stable,1,4,0
S00124,Male,E-commerce,DirectAdmission,2.72,2.68,2.51,2.5,2.6,125,0,0,0.82,0.67,2,Stable,1,4,0
S00125,Female,Accounting,EntranceExam,2.69,2.59,2.32,2.5,2.52,130,0,0,0.84,0.83,3,Stable,1,4,1
S00126,Male,Notary Relations,EntranceExam,1.42,1.82,1.57,2.05,1.72,125,7,0,0.97,0.82,2,Stable,0,5,0
S00127,Male,Information Technology,DirectAdmission,2.14,2.38,2.2,2.14,2.22,130,5,0,0.89,0.88,1,Average,0,7,0
S00128,Male,E-commerce,EntranceExam,2.91,3.1,3.03,2.63,2.92,125,0,0,0.93,0.88,3,Stable,1,4,1
S00129,Male,Artificial Intelligence,EntranceExam,3.12,3.18,3.37,2.76,3.11,130,1,0,0.95,1,2,Stable,1,4,1
S00130,Female,Computer Science,DirectAdmission,2.58,2.98,2.49,2.33,2.6,130,0,0,0.85,0.81,1,Stable,1,4,1
S00131,Male,Multimedia Communication,EntranceExam,1.94,1.92,2.01,1.78,1.91,125,4,1,0.94,0.68,1,Stable,0,5,0
S00132,Female,Marketing,EntranceExam,2.5,1.76,2.62,2.16,2.26,120,3,0,0.79,0.78,1,Stable,0,6,0
S00133,Male,Automation,EntranceExam,2.23,2.23,1.9,1.43,1.95,140,5,1,0.96,0.95,5,Average,0,5,0
S00134,Female,Financial Technology (Fintech),EntranceExam,2.15,2.51,2.86,2.68,2.55,130,0,0,0.96,0.82,0,Stable,1,4,0
S00135,Male,Automation,EntranceExam,2.21,1.9,2.54,2.29,2.24,140,4,0,0.95,1,3,Stable,1,4,0
S00136,Female,Multimedia Technology,DirectAdmission,2.23,2.58,2.91,3.23,2.74,125,2,0,0.68,0.71,0,Difficult,0,6,1
S00137,Male,Multimedia Technology,EntranceExam,2.48,2.98,2.05,2.36,2.47,125,0,0,0.89,0.95,1,Average,1,4,0
S00138,Female,Multimedia Communication,DirectAdmission,3.29,3.7,3.25,3.5,3.44,125,1,0,0.86,0.87,0,Stable,1,4,0
S00139,Female,Business Administration,EntranceExam,2.69,2.76,3.19,2.88,2.88,120,3,0,0.71,0.72,0,Average,0,6,0
S00140,Female,Computer Science,EntranceExam,3.03,2.95,3.26,2.88,3.03,130,0,0,0.96,0.87,2,Average,1,4,1
S00141,Female,Automation,EntranceExam,2.33,2.61,2.77,2.12,2.46,140,3,0,1,0.89,0,Average,0,5,1
S00142,Male,Marketing,EntranceExam,2,2.52,2.42,2.44,2.34,120,1,0,0.87,0.79,2,Stable,0,6,0
S00143,Male,Computer Science,DirectAdmission,2.51,2.68,2.97,3.03,2.8,130,3,0,0.82,0.66,0,Difficult,0,5,0
S00144,Male,Information Technology,DirectAdmission,2.68,2.54,2.43,2.33,2.5,130,0,0,0.85,0.89,1,Average,1,4,0
S00145,Female,Information Technology,DirectAdmission,2.71,2.99,3.02,2.52,2.81,130,0,0,0.84,0.82,0,Stable,1,4,1
S00146,Male,Business Administration,DirectAdmission,2.38,2.59,2.54,2.62,2.53,120,0,0,0.85,0.98,0,Average,1,4,0
S00147,Male,Game Design and Development,DirectAdmission,2.45,2.77,3.48,2.81,2.88,140,0,0,0.93,0.94,3,Stable,1,4,1
S00148,Female,E-commerce,EntranceExam,2.09,2.45,2.53,2.61,2.42,125,0,0,0.88,0.8,3,Average,1,4,0
S00149,Female,Multimedia Communication,DirectAdmission,3.26,3.15,3.26,3.42,3.27,125,0,0,0.88,0.78,1,Average,1,4,1
S00150,Male,Journalism,EntranceExam,2.77,2.47,2.28,2.52,2.51,120,1,0,0.91,0.8,3,Average,0,6,0
S00151,Female,Multimedia Technology,EntranceExam,2.6,2.32,2.79,2.85,2.64,125,1,0,0.8,0.83,0,Stable,1,4,1
S00152,Female,Game Design and Development,EntranceExam,2.2,2.8,2.63,2.74,2.59,140,1,0,0.88,0.7,2,Average,1,4,1
S00153,Male,Multimedia Technology,DirectAdmission,3.46,2.26,3.08,3.47,3.07,125,1,0,0.84,0.6,1,Average,1,4,0
S00154,Male,Artificial Intelligence,EntranceExam,2.89,3.1,3.55,2.56,3.02,130,0,0,0.89,1,1,Stable,1,4,1
S00155,Female,E-commerce,EntranceExam,2.54,2.92,2.67,2.51,2.66,125,0,0,0.86,0.91,1,Average,1,4,1
S00156,Male,Computer Science,EntranceExam,2.02,2.65,2.88,2.15,2.42,130,2,0,0.82,0.9,1,Stable,1,4,0
S00157,Male,E-commerce,EntranceExam,1.98,2.68,2.08,2.28,2.26,125,4,0,0.79,0.67,0,Average,0,7,0
S00158,Female,Multimedia Technology,EntranceExam,2.87,3.17,3.4,3.46,3.22,125,1,0,0.88,0.8,0,Stable,1,4,0
S00159,Female,Information Technology,DirectAdmission,2.9,2.81,3.58,2.85,3.03,130,0,1,1,0.98,4,Stable,1,4,0
S00160,Male,Automation,EntranceExam,3.48,3.02,2.99,3.25,3.18,140,0,0,0.86,0.81,4,Stable,1,4,1
S00161,Female,Information Technology,EntranceExam,3.35,3.76,3.36,4,3.62,130,0,0,0.83,0.87,1,Stable,1,4,0
S00162,Male,Computer Science,EntranceExam,2.86,3.01,2.54,2.73,2.78,130,0,0,0.88,0.75,2,Stable,1,4,0
S00163,Male,Multimedia Communication,DirectAdmission,2.25,2.68,2.27,2.21,2.35,125,4,0,0.71,0.73,2,Difficult,0,7,0
S00164,Female,Information Security,EntranceExam,2.4,2.3,2.44,3.05,2.55,130,0,0,0.86,0.69,0,Difficult,0,5,1
S00165,Female,Information Security,EntranceExam,3.09,3.1,2.47,2.85,2.88,130,0,0,0.83,0.85,0,Average,1,4,1
S00166,Female,Game Design and Development,EntranceExam,2.02,2.26,1.85,2.25,2.09,140,3,0,0.82,0.89,1,Stable,0,8,1
S00167,Male,Business Administration,EntranceExam,2.84,1.84,2.51,2.57,2.44,120,0,0,0.81,0.88,1,Average,1,4,0
S00168,Female,Multimedia Technology,EntranceExam,2.98,3.24,3.2,2.93,3.09,125,1,0,0.93,0.78,2,Stable,1,4,0
S00169,Male,Information Technology,DirectAdmission,1.66,1.39,1.63,1.73,1.6,130,3,1,0.81,0.84,2,Average,0,7,0
S00170,Female,Automation,EntranceExam,2.4,2.61,2.84,2.73,2.64,140,0,0,1,1,1,Stable,1,4,1
S00171,Male,Marketing,EntranceExam,3.46,3.75,4,3.52,3.68,120,0,0,0.81,0.74,2,Stable,1,4,1
S00172,Male,Game Design and Development,EntranceExam,2.19,2.94,2.32,2.08,2.38,140,0,0,0.91,0.97,0,Average,1,4,0
S00173,Male,Multimedia Communication,EntranceExam,2.35,2.58,2.19,2.49,2.4,125,0,0,0.86,0.9,1,Stable,1,4,0
S00174,Male,Artificial Intelligence,EntranceExam,2.11,2.6,2.43,2.56,2.43,130,3,0,0.84,0.67,1,Stable,0,5,0
S00175,Female,Financial Technology (Fintech),EntranceExam,1.22,2.2,1.85,2.69,1.99,130,2,0,0.89,0.96,0,Average,0,8,1
S00176,Female,Marketing,DirectAdmission,2.24,2.58,2.29,2.41,2.38,120,0,0,0.99,0.84,0,Stable,1,4,1
S00177,Male,Financial Technology (Fintech),EntranceExam,2.13,2.31,2.8,2.47,2.43,130,1,0,0.86,0.87,2,Stable,1,4,0
S00178,Female,Business Administration,EntranceExam,2.82,2.37,2.62,2.95,2.69,120,0,0,0.93,0.76,0,Stable,1,4,1
S00179,Female,Game Design and Development,EntranceExam,2.64,2.25,2.86,2.06,2.45,140,2,0,0.8,0.72,1,Stable,0,7,1
S00180,Female,Information Security,EntranceExam,2.62,3.05,2.62,2.6,2.72,130,2,0,0.79,0.93,0,Difficult,0,5,1
S00181,Female,Marketing,DirectAdmission,1.93,2.88,2.28,2.5,2.4,120,0,0,0.94,0.91,2,Stable,1,4,1
S00182,Female,Journalism,EntranceExam,1.19,1.14,0.98,1.64,1.24,120,7,0,0.8,0.6,1,Difficult,0,6,0
S00183,Female,Information Technology,EntranceExam,1.4,1.56,1.81,1.47,1.56,130,4,0,0.84,0.77,2,Average,0,5,1
S00184,Male,Information Technology,EntranceExam,2.6,2.68,2.29,2.98,2.64,130,0,0,0.82,0.94,5,Stable,1,4,0
S00185,Female,E-commerce,EntranceExam,3.24,3.89,3.52,3.05,3.42,125,0,0,0.81,0.71,1,Difficult,1,4,0
S00186,Male,E-commerce,EntranceExam,1.61,2.01,1.88,1.68,1.8,125,5,0,0.97,0.9,5,Stable,1,4,0
S00187,Female,Multimedia Communication,EntranceExam,2.82,2.58,2.48,2.68,2.64,125,2,0,0.91,1,0,Average,1,4,1
S00188,Female,E-commerce,EntranceExam,2.09,2.5,2.59,2.61,2.45,125,1,0,0.84,0.86,3,Average,0,7,1
S00189,Female,Financial Technology (Fintech),EntranceExam,1.92,2.09,1.87,1.69,1.89,130,4,2,0.69,0.95,2,Average,0,6,1
S00190,Male,Automation,EntranceExam,2.85,3.05,2.67,3.11,2.92,140,0,0,0.91,0.77,3,Average,1,4,1
S00191,Male,E-commerce,DirectAdmission,2.83,3.52,3.49,3.43,3.32,125,0,0,0.83,0.81,1,Stable,1,4,1
S00192,Female,Game Design and Development,EntranceExam,1.65,1.97,1.71,2.17,1.88,140,6,0,0.74,0.73,4,Stable,0,6,1
S00193,Male,E-commerce,DirectAdmission,3.47,3.56,2.89,3.06,3.24,125,0,0,0.95,0.82,1,Stable,1,4,1
S00194,Male,Game Design and Development,EntranceExam,1.66,1.7,2.11,1.9,1.84,140,5,0,0.68,0.91,2,Difficult,0,7,0
S00195,Female,Marketing,EntranceExam,2.05,2.38,2.75,2.02,2.3,120,0,0,0.94,0.97,0,Stable,1,4,1
S00196,Male,Marketing,EntranceExam,1.36,1.48,1.79,1.55,1.54,120,6,0,0.94,0.96,2,Stable,1,4,0
S00197,Female,Notary Relations,EntranceExam,2.86,2.58,3.36,2.3,2.77,125,1,0,0.93,0.89,0,Stable,1,4,1
S00198,Female,Computer Science,DirectAdmission,2.53,2.08,2.06,2.4,2.27,130,2,0,0.93,0.72,2,Stable,1,4,1
S00199,Female,Financial Technology (Fintech),EntranceExam,2.59,2.88,3.37,2.62,2.86,130,0,0,0.9,0.84,2,Stable,1,4,1
S00200,Male,Information Technology,EntranceExam,2.53,2.72,3.21,2.77,2.81,130,0,0,0.84,0.76,0,Average,1,4,0
S00201,Female,E-commerce,EntranceExam,3.1,3.31,3.63,3.09,3.28,125,0,0,0.91,0.92,1,Stable,1,4,0
S00202,Female,Accounting,DirectAdmission,2.53,2.98,2.86,3.24,2.9,130,0,0,0.9,0.8,2,Stable,1,4,1
S00203,Female,Artificial Intelligence,EntranceExam,2.82,2.91,2.67,2.54,2.74,130,1,0,0.97,0.82,2,Stable,1,4,0
S00204,Male,Notary Relations,EntranceExam,2.15,2.87,2.46,2.49,2.49,125,0,1,0.83,0.74,3,Stable,1,4,0
S00205,Female,Information Security,EntranceExam,2.29,2.43,2.6,2.73,2.51,130,1,0,0.89,0.77,3,Average,1,4,1
S00206,Female,Accounting,EntranceExam,2.08,1.5,2.33,2.3,2.05,130,1,0,0.88,0.89,0,Average,0,5,1
